ZONE T="NURB_Profil_gestaf0"
I=380, J=1, K=1
0.066552630 0.018916494 0.000000000
0.066504646 0.018922887 0.000000000
0.066456651 0.018929198 0.000000000
0.066399044 0.018936662 0.000000000
0.066329893 0.018945463 0.000000000
0.066246886 0.018955803 0.000000000
0.066147239 0.018967895 0.000000000
0.066027606 0.018981956 0.000000000
0.065883976 0.018998190 0.000000000
0.065711516 0.019016769 0.000000000
0.065504437 0.019037790 0.000000000
0.065255763 0.019061227 0.000000000
0.064957130 0.019086850 0.000000000
0.064598493 0.019114121 0.000000000
0.064167789 0.019142042 0.000000000
0.063650559 0.019168956 0.000000000
0.063123613 0.019189360 0.000000000
0.062596453 0.019203086 0.000000000
0.062069166 0.019210490 0.000000000
0.061541830 0.019211903 0.000000000
0.061014506 0.019207630 0.000000000
0.060487256 0.019197955 0.000000000
0.059960122 0.019183141 0.000000000
0.059433151 0.019163432 0.000000000
0.058906374 0.019139057 0.000000000
0.058379822 0.019110227 0.000000000
0.057853519 0.019077140 0.000000000
0.057327489 0.019039984 0.000000000
0.056801750 0.018998931 0.000000000
0.056276313 0.018954144 0.000000000
0.055751195 0.018905777 0.000000000
0.055226403 0.018853974 0.000000000
0.054701950 0.018798870 0.000000000
0.054177838 0.018740594 0.000000000
0.053654073 0.018679267 0.000000000
0.053130663 0.018615002 0.000000000
0.052607608 0.018547908 0.000000000
0.052084909 0.018478088 0.000000000
0.051562567 0.018405638 0.000000000
0.051040584 0.018330652 0.000000000
0.050518959 0.018253216 0.000000000
0.049997690 0.018173415 0.000000000
0.049476776 0.018091329 0.000000000
0.048956214 0.018007034 0.000000000
0.048436004 0.017920603 0.000000000
0.047916141 0.017832105 0.000000000
0.047396622 0.017741607 0.000000000
0.046877445 0.017649174 0.000000000
0.046358604 0.017554866 0.000000000
0.045840096 0.017458743 0.000000000
0.045321918 0.017360862 0.000000000
0.044804064 0.017261278 0.000000000
0.044286530 0.017160043 0.000000000
0.043769312 0.017057209 0.000000000
0.043252404 0.016952826 0.000000000
0.042735802 0.016846941 0.000000000
0.042219500 0.016739601 0.000000000
0.041703493 0.016630851 0.000000000
0.041187775 0.016520737 0.000000000
0.040672342 0.016409300 0.000000000
0.040157187 0.016296583 0.000000000
0.039642305 0.016182627 0.000000000
0.039127689 0.016067473 0.000000000
0.038613334 0.015951161 0.000000000
0.038099233 0.015833730 0.000000000
0.037585380 0.015715219 0.000000000
0.037071769 0.015595667 0.000000000
0.036558391 0.015475111 0.000000000
0.036045241 0.015353590 0.000000000
0.035532313 0.015231143 0.000000000
0.035019599 0.015107793 0.000000000
0.034507120 0.014983477 0.000000000
0.033994901 0.014858099 0.000000000
0.033482965 0.014731559 0.000000000
0.032971343 0.014603757 0.000000000
0.032460065 0.014474592 0.000000000
0.031949159 0.014343960 0.000000000
0.031438657 0.014211758 0.000000000
0.030928592 0.014077883 0.000000000
0.030418996 0.013942231 0.000000000
0.029909905 0.013804698 0.000000000
0.029401352 0.013665184 0.000000000
0.028893376 0.013523587 0.000000000
0.028386014 0.013379808 0.000000000
0.027879302 0.013233751 0.000000000
0.027373281 0.013085322 0.000000000
0.026867988 0.012934430 0.000000000
0.026363464 0.012780988 0.000000000
0.025859748 0.012624913 0.000000000
0.025356881 0.012466126 0.000000000
0.024854901 0.012304552 0.000000000
0.024353851 0.012140124 0.000000000
0.023853767 0.011972776 0.000000000
0.023354689 0.011802452 0.000000000
0.022856656 0.011629099 0.000000000
0.022359703 0.011452669 0.000000000
0.021863872 0.011273113 0.000000000
0.021369201 0.011090390 0.000000000
0.020875722 0.010904466 0.000000000
0.020383470 0.010715318 0.000000000
0.019892474 0.010522935 0.000000000
0.019402760 0.010327312 0.000000000
0.018914350 0.010128455 0.000000000
0.018427263 0.009926376 0.000000000
0.017941516 0.009721100 0.000000000
0.017457121 0.009512654 0.000000000
0.016974087 0.009301071 0.000000000
0.016492422 0.009086386 0.000000000
0.016012140 0.008868634 0.000000000
0.015533245 0.008647845 0.000000000
0.015055746 0.008424051 0.000000000
0.014579651 0.008197284 0.000000000
0.014104968 0.007967574 0.000000000
0.013631708 0.007734955 0.000000000
0.013159874 0.007499452 0.000000000
0.012689474 0.007261097 0.000000000
0.012220516 0.007019919 0.000000000
0.011753002 0.006775954 0.000000000
0.011286925 0.006529250 0.000000000
0.010822280 0.006279861 0.000000000
0.010359057 0.006027841 0.000000000
0.009897246 0.005773242 0.000000000
0.009436838 0.005516121 0.000000000
0.008977819 0.005256528 0.000000000
0.008520174 0.004994516 0.000000000
0.008063888 0.004730139 0.000000000
0.007608954 0.004463454 0.000000000
0.007155348 0.004194506 0.000000000
0.006703060 0.003923353 0.000000000
0.006252072 0.003650044 0.000000000
0.005802366 0.003374629 0.000000000
0.005353925 0.003097159 0.000000000
0.004906731 0.002817683 0.000000000
0.004460767 0.002536248 0.000000000
0.004016012 0.002252903 0.000000000
0.003572452 0.001967694 0.000000000
0.003130068 0.001680670 0.000000000
0.002700983 0.001399853 0.000000000
0.002344233 0.001164587 0.000000000
0.002047505 0.000967681 0.000000000
0.001800619 0.000803011 0.000000000
0.001595149 0.000665390 0.000000000
0.001424105 0.000550431 0.000000000
0.001281692 0.000454443 0.000000000
0.001163087 0.000374314 0.000000000
0.001064270 0.000307437 0.000000000
0.000981936 0.000251650 0.000000000
0.000913485 0.000205230 0.000000000
0.000856156 0.000166327 0.000000000
0.000808527 0.000133991 0.000000000
0.000768926 0.000107094 0.000000000
0.000735685 0.000084511 0.000000000
0.000702882 0.000062221 0.000000000
0.000670053 0.000039926 0.000000000
0.000636747 0.000017882 0.000000000
0.000602662 -0.000002931 0.000000000
0.000567405 -0.000021682 0.000000000
0.000530909 -0.000037889 0.000000000
0.000493428 -0.000051670 0.000000000
0.000455185 -0.000063174 0.000000000
0.000416357 -0.000072515 0.000000000
0.000377086 -0.000079773 0.000000000
0.000337491 -0.000084984 0.000000000
0.000297679 -0.000088127 0.000000000
0.000257754 -0.000089025 0.000000000
0.000217856 -0.000087362 0.000000000
0.000178192 -0.000082755 0.000000000
0.000139075 -0.000074756 0.000000000
0.000100963 -0.000062875 0.000000000
0.000064502 -0.000046634 0.000000000
0.000030530 -0.000025693 0.000000000
-0.000000000 -0.00000000 0.000000000
-0.000026366 0.000030039 0.000000000
-0.000048495 0.000063335 0.000000000
-0.000066774 0.000098900 0.000000000
-0.000081699 0.000136002 0.000000000
-0.000093760 0.000174137 0.000000000
-0.000103384 0.000212960 0.000000000
-0.000110929 0.000252242 0.000000000
-0.000116688 0.000291826 0.000000000
-0.000120900 0.000331606 0.000000000
-0.000123729 0.000371508 0.000000000
-0.000125133 0.000411485 0.000000000
-0.000124980 0.000451486 0.000000000
-0.000123103 0.000491442 0.000000000
-0.000119291 0.000531260 0.000000000
-0.000113285 0.000570804 0.000000000
-0.000104771 0.000609884 0.000000000
-0.000093583 0.000648284 0.000000000
-0.000080291 0.000686012 0.000000000
-0.000065692 0.000723255 0.000000000
-0.000050706 0.000760225 0.000000000
-0.000035445 0.000797306 0.000000000
-0.000016683 0.000841502 0.000000000
0.000006589 0.000894199 0.000000000
0.000035524 0.000956986 0.000000000
0.000071550 0.001031696 0.000000000
0.000116481 0.001120523 0.000000000
0.000172561 0.001225994 0.000000000
0.000242584 0.001351066 0.000000000
0.000330017 0.001499184 0.000000000
0.000439159 0.001674374 0.000000000
0.000575311 0.001881285 0.000000000
0.000745012 0.002125306 0.000000000
0.000956328 0.002412640 0.000000000
0.001219200 0.002750396 0.000000000
0.001545830 0.003146757 0.000000000
0.001909611 0.003564844 0.000000000
0.002283316 0.003974095 0.000000000
0.002665604 0.004375346 0.000000000
0.003055484 0.004769217 0.000000000
0.003452217 0.005156192 0.000000000
0.003855216 0.005536631 0.000000000
0.004264018 0.005910835 0.000000000
0.004678221 0.006279049 0.000000000
0.005097489 0.006641489 0.000000000
0.005521525 0.006998340 0.000000000
0.005950070 0.007349762 0.000000000
0.006382896 0.007695897 0.000000000
0.006819802 0.008036870 0.000000000
0.007260604 0.008372790 0.000000000
0.007705143 0.008703753 0.000000000
0.008153273 0.009029831 0.000000000
0.008604873 0.009351091 0.000000000
0.009059823 0.009667587 0.000000000
0.009518020 0.009979368 0.000000000
0.009979361 0.010286471 0.000000000
0.010443762 0.010588932 0.000000000
0.010911136 0.010886779 0.000000000
0.011381402 0.011180034 0.000000000
0.011854489 0.011468718 0.000000000
0.012330328 0.011752846 0.000000000
0.012808850 0.012032429 0.000000000
0.013289993 0.012307474 0.000000000
0.013773699 0.012577990 0.000000000
0.014259909 0.012843979 0.000000000
0.014748569 0.013105441 0.000000000
0.015239626 0.013362377 0.000000000
0.015733023 0.013614778 0.000000000
0.016228720 0.013862647 0.000000000
0.016726656 0.014105971 0.000000000
0.017226793 0.014344745 0.000000000
0.017729081 0.014578961 0.000000000
0.018233475 0.014808607 0.000000000
0.018739929 0.015033673 0.000000000
0.019248399 0.015254145 0.000000000
0.019758842 0.015470012 0.000000000
0.020271217 0.015681260 0.000000000
0.020785472 0.015887872 0.000000000
0.021301575 0.016089838 0.000000000
0.021819476 0.016287138 0.000000000
0.022339139 0.016479761 0.000000000
0.022860514 0.016667686 0.000000000
0.023383565 0.016850901 0.000000000
0.023908248 0.017029391 0.000000000
0.024434498 0.017203204 0.000000000
0.024962233 0.017372457 0.000000000
0.025491374 0.017537261 0.000000000
0.026021848 0.017697723 0.000000000
0.026553587 0.017853943 0.000000000
0.027086527 0.018006018 0.000000000
0.027620609 0.018154036 0.000000000
0.028155773 0.018298081 0.000000000
0.028691970 0.018438234 0.000000000
0.029229153 0.018574572 0.000000000
0.029767268 0.018707165 0.000000000
0.030306280 0.018836082 0.000000000
0.030846140 0.018961384 0.000000000
0.031386816 0.019083134 0.000000000
0.031928264 0.019201386 0.000000000
0.032470456 0.019316194 0.000000000
0.033013353 0.019427607 0.000000000
0.033556928 0.019535673 0.000000000
0.034101150 0.019640435 0.000000000
0.034645988 0.019741934 0.000000000
0.035191418 0.019840207 0.000000000
0.035737414 0.019935291 0.000000000
0.036283949 0.020027217 0.000000000
0.036831002 0.020116016 0.000000000
0.037378548 0.020201715 0.000000000
0.037926568 0.020284339 0.000000000
0.038475038 0.020363912 0.000000000
0.039023940 0.020440452 0.000000000
0.039573254 0.020513979 0.000000000
0.040122960 0.020584508 0.000000000
0.040673042 0.020652052 0.000000000
0.041223480 0.020716622 0.000000000
0.041774258 0.020778227 0.000000000
0.042325359 0.020836874 0.000000000
0.042876767 0.020892566 0.000000000
0.043428465 0.020945307 0.000000000
0.043980436 0.020995094 0.000000000
0.044532667 0.021041926 0.000000000
0.045085141 0.021085797 0.000000000
0.045637842 0.021126700 0.000000000
0.046190756 0.021164624 0.000000000
0.046743865 0.021199556 0.000000000
0.047297160 0.021231478 0.000000000
0.047850617 0.021260368 0.000000000
0.048404229 0.021286200 0.000000000
0.048957973 0.021308949 0.000000000
0.049511839 0.021328585 0.000000000
0.050065806 0.021345079 0.000000000
0.050619857 0.021358397 0.000000000
0.051173979 0.021368503 0.000000000
0.051728150 0.021375359 0.000000000
0.052282351 0.021378925 0.000000000
0.052836563 0.021379157 0.000000000
0.053390765 0.021376009 0.000000000
0.053944939 0.021369430 0.000000000
0.054499060 0.021359369 0.000000000
0.055053106 0.021345765 0.000000000
0.055607053 0.021328553 0.000000000
0.056160871 0.021307656 0.000000000
0.056714532 0.021282990 0.000000000
0.057268011 0.021254458 0.000000000
0.057821269 0.021221953 0.000000000
0.058374273 0.021185355 0.000000000
0.058926976 0.021144530 0.000000000
0.059479342 0.021099328 0.000000000
0.060031317 0.021049581 0.000000000
0.060582842 0.020995102 0.000000000
0.061133863 0.020935679 0.000000000
0.061684303 0.020871125 0.000000000
0.062234095 0.020801273 0.000000000
0.062783159 0.020725922 0.000000000
0.063331406 0.020644817 0.000000000
0.063878715 0.020557645 0.000000000
0.064390045 0.020470205 0.000000000
0.064815338 0.020392727 0.000000000
0.065169104 0.020324748 0.000000000
0.065463418 0.020265576 0.000000000
0.065708303 0.020214417 0.000000000
0.065912091 0.020170432 0.000000000
0.066081696 0.020132799 0.000000000
0.066222874 0.020100731 0.000000000
0.066340395 0.020073501 0.000000000
0.066438257 0.020050442 0.000000000
0.066519858 0.020030955 0.000000000
0.066587853 0.020014583 0.000000000
0.066644476 0.020000887 0.000000000
0.066691432 0.019989513 0.000000000
0.066738609 0.019978086 0.000000000
0.066785535 0.019966714 0.000000000
0.066832575 0.019954969 0.000000000
0.066879285 0.019941982 0.000000000
0.066925308 0.019926753 0.000000000
0.066970121 0.019908280 0.000000000
0.067012965 0.019885634 0.000000000
0.067052885 0.019858171 0.000000000
0.067089293 0.019826191 0.000000000
0.067122056 0.019790480 0.000000000
0.067151148 0.019751715 0.000000000
0.067176584 0.019710457 0.000000000
0.067198383 0.019667165 0.000000000
