x,y
-0.5499,0.0003
-0.5230,-0.0001
-0.4942,-0.0004
-0.4644,0.0004
-0.4365,0.0005
-0.4071,-0.0006
-0.3791,0.0002
-0.3514,0.0000
-0.3223,-0.0006
-0.2935,0.0003
-0.2655,0.0003
-0.2380,0.0002
-0.2227,0.0003
-0.2082,0.0010
-0.1940,0.0017
-0.1801,0.0096
-0.1646,0.0253
-0.1511,0.0358
-0.1367,0.0699
-0.1231,0.1274
-0.1079,0.1622
-0.0937,0.2149
-0.0794,0.2822
-0.0645,0.3192
-0.0504,0.3377
-0.0367,0.3563
-0.0218,0.3301
-0.0071,0.3036
0.0067,0.2263
0.0212,0.1444
0.0360,0.1111
0.0494,0.0811
0.0639,0.0343
0.0779,0.0216
0.0920,0.0150
0.1062,0.0063
0.1212,0.0032
0.1357,0.0019
0.1492,0.0004
0.1634,0.0007
0.1780,0.0002
0.1928,0.0005
0.2054,0.0002
0.2207,0.0005
0.2349,0.0009
0.2486,0.0004
0.2630,0.0004
0.2779,0.0011
0.3072,0.0004
0.3359,0.0007
0.3641,0.0004
0.3938,0.0008
0.4211,-0.0001
0.4508,-0.0005
0.4801,0.0003
0.5073,0.0011
0.5362,0.0006
0.5658,0.0009
0.5937,0.0012
0.6217,0.0004
